AE_Gujarat_2012
Assembly_No,Year,month,DelimID,Poll_No,District_Name,Sub_Region,Constituency_Name,Constituency_No,Constituency_Type,Candidate,Sex,Age,Party,Position,Candidate_Type,Votes,Electors,Valid_Votes,Vote_Share_Percentage,Margin,Margin_Percentage,Turnout_Percentage,N_Cand,ENOP,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Deposit_Lost,pid,Party_Type_TCPD,Party_ID,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,MANDVI,2,GEN,GADHAVI VIJAYKUMAR KARASANBHAI,M,50,GPP,3,GEN,12720,193772,139492,9.12,9092,6.52,71.99,11,2.78,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12755,Local Party,3167,Graduate,Agriculture,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,MANDVI,2,GEN,MAHESHWARI NARANBHAI VELJIBHAI,M,42,BSP,4,GEN,3628,193772,139492,2.6,206,0.15,71.99,11,2.78,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12757,State-based Party (Other State),16651,Literate,Business,Real Estate or Builder or Developer or Construction,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,MANDVI,2,GEN,VELANI SHANTILAL KARAMASHI,M,50,IND,5,GEN,3422,193772,139492,2.45,1670,1.2,71.99,11,2.78,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12750,Independents,10809,,,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,MANDVI,2,GEN,DHRUIYA GULAMHUSAIN SALEMAMAD,M,46,IND,6,GEN,1752,193772,139492,1.26,1192,0.85,71.99,11,2.78,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12758,Independents,10809,,,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,MANDVI,2,GEN,GADHAVI RAM DHANRAJ,M,48,IND,7,GEN,560,193772,139492,0.4,5,0,71.99,11,2.78,TRUE,2,IND,10809,MANDVI,TRUE,TRUE,0,FALSE,FALSE,TRUE,yes,AEGJ11486,Independents,10809,Literate,Other,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,MANDVI,2,GEN,AYAR RAGHUBHAI KANABHAI,M,53,IND,8,GEN,555,193772,139492,0.4,64,0.05,71.99,11,2.78,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12754,Independents,10809,,,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,MANDVI,2,GEN,BATIYA DEVDAS VALABHAI,M,34,RPI(A),9,GEN,491,193772,139492,0.35,25,0.02,71.99,11,2.78,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12756,Local Party,12285,5th Pass,Agriculture,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,MANDVI,2,GEN,SUMRA ABDULRAJAK KASAM,M,43,LJP,10,GEN,466,193772,139492,0.33,30,0.02,71.99,11,2.78,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12752,State-based Party (Other State),5029,,,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,MANDVI,2,GEN,SANGHAR LAKHAMASHI MITHUBHAI,M,52,JD(U),11,GEN,436,193772,139492,0.31,0,0,71.99,11,2.78,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12753,State-based Party (Other State),11002,Literate,Labourer or Daily Wage,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,BHUJ,3,GEN,DR. NIMABEN AACHARYA,F,66,BJP,1,GEN,69174,223986,153950,44.93,8973,5.83,68.73,10,2.78,TRUE,5,BJP,1605,ANJAR,FALSE,TRUE,3,FALSE,TRUE,TRUE,no,AEGJ4952,National Party,1605,Post Graduate,Liberal Profession or Professional,Doctor,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,BHUJ,3,GEN,AMIRALI HAJIHUSHEN LODHIYA,M,66,INC,2,GEN,60201,223986,153950,39.1,43947,28.55,68.73,10,2.78,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,no,AEGJ12768,National Party,3482,Graduate Professional,Liberal Profession or Professional,Lawyer,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,BHUJ,3,GEN,HIRANI RAMJI SHIVJI (R.S. HIRANI),M,57,IND,3,GEN,16254,223986,153950,10.56,13263,8.62,68.73,10,2.78,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12763,Independents,10809,,,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,BHUJ,3,GEN,ARUN MUKUNDRAY VACHHRAJANI,M,64,GPP,4,GEN,2991,223986,153950,1.94,899,0.58,68.73,10,2.78,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12764,Local Party,3167,Graduate,Other,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,BHUJ,3,GEN,RAJGOR TEJASHKUMAR CHAMPAKLAL,M,32,IND,5,GEN,2092,223986,153950,1.36,508,0.33,68.73,10,2.78,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12760,Independents,10809,5th Pass,Salaried Work or Employed,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,BHUJ,3,GEN,MAHESHWARI DAYABHAI LADHUBHAI,M,62,BSP,6,GEN,1584,223986,153950,1.03,1068,0.69,68.73,10,2.78,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12765,State-based Party (Other State),16651,10th Pass,Retired or Pension,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,BHUJ,3,GEN,AARAB SALIM UMARBHAI,M,56,IND,7,GEN,516,223986,153950,0.34,88,0.06,68.73,10,2.78,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12761,Independents,10809,8th Pass,Small Business or Self-employed,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,BHUJ,3,GEN,GORASHIYA MANSUKH VISHRAMBHAI,M,39,LJP,8,GEN,428,223986,153950,0.28,1,0,68.73,10,2.78,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12767,State-based Party (Other State),5029,,,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,BHUJ,3,GEN,SWAMI SUNILKUMAR LALSINGH,M,29,SP,9,GEN,427,223986,153950,0.28,144,0.09,68.73,10,2.78,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12766,State-based Party (Other State),7425,10th Pass,Other,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,BHUJ,3,GEN,SUMRA HASANBHAI OSMANBHAI,M,42,JD(U),10,GEN,283,223986,153950,0.18,0,0,68.73,10,2.78,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12769,State-based Party (Other State),11002,8th Pass,Business,Agricultural Business,Agriculture,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,ANJAR,4,GEN,AHIR VASANBHAI GOPALBHAI,M,54,BJP,1,GEN,64789,191018,137376,47.16,4728,3.44,71.92,9,2.44,TRUE,4,BJP,1605,BHUJ,FALSE,TRUE,4,FALSE,TRUE,TRUE,no,AEGJ6853,National Party,1605,5th Pass,Agriculture,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,ANJAR,4,GEN,V.K. HUMBAL,M,56,INC,2,GEN,60061,191018,137376,43.72,56421,41.07,71.92,9,2.44,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,no,AEGJ12773,National Party,3482,10th Pass,Agriculture,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,ANJAR,4,GEN,VANIYA JAGDISHBHAI MEGHJIBHAI,M,47,IND,3,GEN,3640,191018,137376,2.65,1126,0.82,71.92,9,2.44,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12778,Independents,10809,Literate,Other,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,ANJAR,4,GEN,JATIYA MAVJIBHAI GOVINDBHAI,M,45,GPP,4,GEN,2514,191018,137376,1.83,441,0.32,71.92,9,2.44,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12777,Local Party,3167,Literate,Agriculture,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,ANJAR,4,GEN,JAT FAKIRMAMAD SALEMAN,M,26,BSP,5,GEN,2073,191018,137376,1.51,643,0.47,71.92,9,2.44,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12775,State-based Party (Other State),16651,8th Pass,Labourer or Daily Wage,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,ANJAR,4,GEN,GUSAI BABUPURI UMEDPURI,M,61,SP,6,GEN,1430,191018,137376,1.04,117,0.09,71.92,9,2.44,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12776,State-based Party (Other State),7425,10th Pass,Other,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,ANJAR,4,GEN,JADEJA YOGENDRASINH RANJITSINH,M,35,MaJP,7,GEN,1313,191018,137376,0.96,360,0.26,71.92,9,2.44,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12774,Local Party,5316,12th Pass,Other,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,ANJAR,4,GEN,LADAK RAMJUBHAI UMARBHAI,M,50,RPI(A),8,GEN,953,191018,137376,0.69,350,0.25,71.92,9,2.44,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12771,Local Party,12285,Illiterate,Labourer or Daily Wage,Truck Driver,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,ANJAR,4,GEN,JADEJA GANSHYAMSINH JILUBHA,M,40,LJP,9,GEN,603,191018,137376,0.44,0,0,71.92,9,2.44,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12770,State-based Party (Other State),5029,,,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,GANDHIDHAM,5,SC,MAHESHWARI RAMESH VACHCHHRAJ,M,44,BJP,1,SC,72988,225734,138363,52.75,21313,15.4,61.29,8,2.38,TRUE,2,BJP,1605,MUNDRA,FALSE,TRUE,2,FALSE,TRUE,TRUE,no,AEGJ12780,National Party,1605,8th Pass,Business,,Agriculture,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,GANDHIDHAM,5,SC,CHAVADA JAYSHREEBEN AJITBHAI,F,48,INC,2,SC,51675,225734,138363,37.35,46889,33.89,61.29,8,2.38,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,no,AEGJ12784,National Party,3482,5th Pass,Labourer or Daily Wage,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,GANDHIDHAM,5,SC,KOCHARA KISHORBHAI KANJIBHAI,M,35,BSP,3,SC,4786,225734,138363,3.46,2017,1.46,61.29,8,2.38,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12783,State-based Party (Other State),16651,Graduate Professional,Labourer or Daily Wage,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,GANDHIDHAM,5,SC,DANGAR PREMKUMAR RATANLAL,M,53,GPP,4,SC,2769,225734,138363,2,56,0.04,61.29,8,2.38,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12785,Local Party,3167,10th Pass,Agriculture,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,GANDHIDHAM,5,SC,MATANG HEMARAJ DEVARAJBHAI,M,60,IND,5,SC,2713,225734,138363,1.96,1417,1.02,61.29,8,2.38,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12781,Independents,10809,10th Pass,Retired or Pension,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,GANDHIDHAM,5,SC,MUCHHADIYA RAMJIBHAI DHANABHAI,M,36,RPI(A),6,SC,1296,225734,138363,0.94,212,0.15,61.29,8,2.38,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12779,Local Party,12285,8th Pass,Other,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,GANDHIDHAM,5,SC,KANTHECHA SURESHBHAI HADHUBHAI,M,28,JD(U),7,SC,1084,225734,138363,0.78,32,0.02,61.29,8,2.38,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12786,State-based Party (Other State),11002,8th Pass,Other,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,GANDHIDHAM,5,SC,BALIYA LALJIBHAI KARABHAI,M,38,SP,8,SC,1052,225734,138363,0.76,0,0,61.29,8,2.38,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ101227,State-based Party (Other State),7425,Literate,Labourer or Daily Wage,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,RAPAR,6,GEN,VAGHAJIBHAI DHARAMSHIBHAI PATEL,M,65,BJP,1,GEN,55280,188320,118139,46.79,9216,7.8,62.73,10,2.7,FALSE,1,,,,,,1,FALSE,FALSE,FALSE,no,AEGJ12787,National Party,1605,5th Pass,Agriculture,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,RAPAR,6,GEN,GADA BABULAL MEGHAJI SHAH,M,70,INC,2,GEN,46064,188320,118139,38.99,40907,34.63,62.73,10,2.7,FALSE,9,INC,3482,RAPAR,TRUE,TRUE,4,FALSE,TRUE,TRUE,no,AEGJ1159,National Party,3482,8th Pass,Agriculture,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,RAPAR,6,GEN,HAMIRABHAI  BIJALBHAI DHILA,M,41,IND,3,GEN,5157,188320,118139,4.37,1182,1,62.73,10,2.7,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12790,Independents,10809,,,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,RAPAR,6,GEN,RAJPUT BABUBHAI BHAVANBHAI,M,45,IND,4,GEN,3975,188320,118139,3.36,1921,1.63,62.73,10,2.7,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12793,Independents,10809,12th Pass,Business,Contractor,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,RAPAR,6,GEN,RATHOD ABABHAI MYAJAR,M,37,BSP,5,GEN,2054,188320,118139,1.74,235,0.2,62.73,10,2.7,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12796,State-based Party (Other State),16651,Literate,Labourer or Daily Wage,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,RAPAR,6,GEN,VAVIYA DANABHAI KESHABHAI,M,46,GPP,6,GEN,1819,188320,118139,1.54,481,0.41,62.73,10,2.7,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12795,Local Party,3167,5th Pass,Business,Real Estate or Builder or Developer or Construction,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,RAPAR,6,GEN,MAHESHWARI VASANTBHAI DAYABHAI,M,55,IND,7,GEN,1338,188320,118139,1.13,113,0.1,62.73,10,2.7,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12794,Independents,10809,Graduate,Agriculture,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,RAPAR,6,GEN,MARU KHETASHIBHAI DAYABHAI,M,46,IND,8,GEN,1225,188320,118139,1.04,550,0.47,62.73,10,2.7,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12789,Independents,10809,10th Pass,Labourer or Daily Wage,Construction,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,RAPAR,6,GEN,HINGORAJA VALIMAMAND ISHMAIL,M,45,LJP,9,GEN,675,188320,118139,0.57,123,0.1,62.73,10,2.7,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12792,State-based Party (Other State),5029,,,,,,State Assembly Election (AE)
12,2012,12,4,0,Kachchh,Saurashtra-Kutch,RAPAR,6,GEN,SOLANKI RAMESH MAVABHAI,M,36,IJP,10,GEN,552,188320,118139,0.47,0,0,62.73,10,2.7,FALSE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ1175,Local Party,3430,Literate,Labourer or Daily Wage,Truck Driver,,,State Assembly Election (AE)
12,2012,12,4,0,Banaskantha,North Gujarat,VAV,7,GEN,SHANKARBHAI LAGDHIRBHAI PATEL (CHAUDHARY),M,42,BJP,1,GEN,72640,226005,175757,41.33,11911,6.78,77.77,7,3.12,TRUE,4,BJP,1605,RADHANPUR,FALSE,TRUE,4,FALSE,TRUE,TRUE,no,AEGJ9984,National Party,1605,Post Graduate,Agriculture,,Social Work,NGO,State Assembly Election (AE)
12,2012,12,4,0,Banaskantha,North Gujarat,VAV,7,GEN,THAKOR GENIBEN NAGAJI,F,36,INC,2,GEN,60729,226005,175757,34.55,30544,17.38,77.77,7,3.12,TRUE,2,INC,3482,DEODAR,FALSE,TRUE,0,FALSE,FALSE,TRUE,no,AEGJ12219,National Party,3482,10th Pass,Agriculture,,,,State Assembly Election (AE)
12,2012,12,4,0,Banaskantha,North Gujarat,VAV,7,GEN,THAKKAR CHANDULAL TEJARAMBHAI,M,55,NCP,3,GEN,30185,226005,175757,17.17,25434,14.47,77.77,7,3.12,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,no,AEGJ12797,State-based Party (Other State),5792,5th Pass,Agriculture,,Social Work,,State Assembly Election (AE)
12,2012,12,4,0,Banaskantha,North Gujarat,VAV,7,GEN,THAKOR BALVANTJI NAGJIJI,M,41,IND,4,GEN,4751,226005,175757,2.7,2103,1.2,77.77,7,3.12,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12801,Independents,10809,5th Pass,Agriculture,,,,State Assembly Election (AE)
12,2012,12,4,0,Banaskantha,North Gujarat,VAV,7,GEN,PAREGI BABABHAI JIVABHAI,M,40,LJP,5,GEN,2648,226005,175757,1.51,233,0.13,77.77,7,3.12,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12803,State-based Party (Other State),5029,,,,,,State Assembly Election (AE)
12,2012,12,4,0,Banaskantha,North Gujarat,VAV,7,GEN,SENGAL KALYANBHAI MADEVBHAI,M,55,BSP,6,GEN,2415,226005,175757,1.37,26,0.01,77.77,7,3.12,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12800,State-based Party (Other State),16651,10th Pass,Agriculture,,,,State Assembly Election (AE)
12,2012,12,4,0,Banaskantha,North Gujarat,VAV,7,GEN,BHUNJAR ASHOKBHAI LAGDHIRBHAI,M,52,GPP,7,GEN,2389,226005,175757,1.36,0,0,77.77,7,3.12,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12799,Local Party,3167,10th Pass,Agriculture,,,,State Assembly Election (AE)
12,2012,12,4,0,Banaskantha,North Gujarat,THARAD,8,GEN,PARABATBHAI SAVABHAI PATEL,M,61,BJP,1,GEN,68517,189236,161793,42.35,3473,2.15,85.5,6,2.86,TRUE,6,BJP,1605,VAV,FALSE,TRUE,4,FALSE,TRUE,TRUE,no,AEGJ12805,National Party,1605,Graduate Professional,Agriculture,,Social Work,,State Assembly Election (AE)
12,2012,12,4,0,Banaskantha,North Gujarat,THARAD,8,GEN,MAVJIBHAI CHATRABHAI PATEL,M,61,INC,2,GEN,65044,189236,161793,40.2,50970,31.5,85.5,6,2.86,TRUE,5,IND,10809,VAV,FALSE,FALSE,1,FALSE,FALSE,TRUE,no,AEGJ12807,National Party,3482,10th Pass,Agriculture,,Social Work,,State Assembly Election (AE)
12,2012,12,4,0,Banaskantha,North Gujarat,THARAD,8,GEN,JERADIYA SHATIBHAI BHAGABHAI,M,31,IND,3,GEN,14074,189236,161793,8.7,6656,4.11,85.5,6,2.86,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12808,Independents,10809,Graduate,Agriculture,,,,State Assembly Election (AE)
12,2012,12,4,0,Banaskantha,North Gujarat,THARAD,8,GEN,BRAHMAN BHAGAVANBHAI DHANABHAI,M,41,IND,4,GEN,7418,189236,161793,4.58,3382,2.09,85.5,6,2.86,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12806,Independents,10809,5th Pass,Business,,Agriculture,,State Assembly Election (AE)
12,2012,12,4,0,Banaskantha,North Gujarat,THARAD,8,GEN,JEPAL MAHADEVBHAI VISAJI,M,56,BSP,5,GEN,4036,189236,161793,2.49,1332,0.82,85.5,6,2.86,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12809,State-based Party (Other State),16651,,Agriculture,,,,State Assembly Election (AE)
12,2012,12,4,0,Banaskantha,North Gujarat,THARAD,8,GEN,TRIVEDI SURESHCHANDRA DAHYALAL,M,48,IND,6,GEN,2704,189236,161793,1.67,0,0,85.5,6,2.86,TRUE,2,IND,10809,VAV,FALSE,TRUE,0,FALSE,FALSE,TRUE,yes,AEGJ12804,Independents,10809,8th Pass,Social Work,,,,State Assembly Election (AE)
12,2012,12,4,0,Banaskantha,North Gujarat,DHANERA,9,GEN,JOITABHAI KASNABHAI PATEL,M,71,INC,1,GEN,87460,206586,158664,55.12,30291,19.09,76.8,6,2.33,TRUE,4,INC,3482,DHANERA,TRUE,TRUE,3,FALSE,FALSE,FALSE,no,AEGJ3352,National Party,3482,8th Pass,Agriculture,,,,State Assembly Election (AE)
12,2012,12,4,0,Banaskantha,North Gujarat,DHANERA,9,GEN,PUROHIT VASANTBHAI RANCHHODJI,M,46,BJP,2,GEN,57169,206586,158664,36.03,52268,32.94,76.8,6,2.33,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,no,AEGJ12814,National Party,1605,Graduate Professional,Liberal Profession or Professional,Lawyer,Agriculture,,State Assembly Election (AE)
12,2012,12,4,0,Banaskantha,North Gujarat,DHANERA,9,GEN,DABHI RUPABHAI CHENABHAI,M,42,BSP,3,GEN,4901,206586,158664,3.09,807,0.51,76.8,6,2.33,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,yes,AEGJ12813,State-based Party (Other State),16651,5th Pass,Agriculture,,,,State Assembly Election (AE)
